86.378.429/0005-66SC510102SC      14220 14220 NF  1  13/08/2009S                0,00               00,00N                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                   NOTA FISCAL CANCELADA    xxxx01
86.378.429/0005-66SC510102SC      14221 14221 NF  1  13/08/2009S              160,70               12,00N                0,00                0,00                0,00              160,70                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                                            xxxx01
47.508.411/0116-03SP610102SC      14222 14222 NF  1  13/08/2009S             1551,60               12,00N                0,00                0,00                0,00             1551,60                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                                            xxxx01
08.495.972/0001-06SC510102SC      14223 14223 NF  1  14/08/2009S               33,60               12,00N                0,00                0,00                0,00               33,60                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                                            xxxx01
82.956.160/0018-11SC510102SC      14224 14224 NF  1  14/08/2009S               50,44               12,00N                0,00                0,00                0,00               50,44                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                                            xxxx01
83.947.978/0001-92SC510102SC      14225 14225 NF  1  14/08/2009S               51,00               12,00N                0,00                0,00                0,00               51,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                                            xxxx01
61.072.898/0001-06SP610102SC      14226 14226 NF  1  14/08/2009S                0,00               00,00N                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                   NOTA FISCAL CANCELADA    xxxx01
66.533.696/0001-20SP610102SC      14227 14227 NF  1  14/08/2009S              306,00               12,00N                0,00                0,00                0,00              306,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                                            xxxx01
61.072.898/0001-06SP610102SC      14228 14228 NF  1  14/08/2009S              306,00               12,00N                0,00                0,00                0,00              306,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                                            xxxx01
59.350.116/0001-01SP610102SC      14229 14229 NF  1  14/08/2009S              204,00               12,00N                0,00                0,00                0,00              204,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                                            xxxx01
