1101-ACR                    10,00 01/09/2009 *** 23977; 
J3-150X120BC                16,00 14/09/2009 *** 24344; 24394; 
1906B-OC                     1,00 14/09/2009 *** 24198; 
J3-150X120PR                35,00 14/09/2009 *** 24344; 24394; 
J3-150X150BC                32,00 14/09/2009 *** 24394; 24636; 24647; 
J3-150X150NF                32,00 14/09/2009 *** 24394; 24636; 24649; 24647; 
J3-150X150PR                24,00 14/09/2009 *** 24394; 24636; 24647; 
J3-160X120BC                 2,00 14/09/2009 *** 24394; 
J3-160X120NF                24,00 14/09/2009 *** 24394; 24649; 
J3-160X120PR                16,00 14/09/2009 *** 24344; 24394; 
J3-160X150NF                32,00 14/09/2009 *** 24394; 24636; 24647; 
J3-160X150PR                24,00 14/09/2009 *** 24394; 24636; 24647; 
J3-180X120BC                 5,00 14/09/2009 *** 24394; 
J3-180X120NF                19,00 14/09/2009 *** 24394; 24649; 
J3-180X120PR                15,00 14/09/2009 *** 24344; 24394; 
J3-180X150BC                42,00 14/09/2009 *** 24394; 24636; 24647; 
J3-180X150NF                32,00 14/09/2009 *** 24394; 24636; 24647; 
J3-180X150PR                22,00 14/09/2009 *** 24394; 24636; 24647; 
J3-180X200NF                 2,00 14/09/2009 *** 24394; 
J3-180X200PR                 2,00 14/09/2009 *** 24394; 
J3-200X120BC                44,00 14/09/2009 *** 24394; 24636; 24647; 
AL1031BC                     1,00 14/09/2009 *** 24163; 
J3-200X120PR                40,00 14/09/2009 *** 24344; 24394; 24636; 24647; 
J3-200X150BC                45,00 14/09/2009 *** 24344; 24394; 24636; 24647; 
J3-200X150NF                35,00 14/09/2009 *** 24344; 24394; 24636; 24649; 24647; 
J3-200X200BC                 2,00 14/09/2009 *** 24394; 
J3-200X200NF                 2,00 14/09/2009 *** 24394; 
J3-240X120BC                 2,00 14/09/2009 *** 24394; 
J3-240X120NF                 4,00 14/09/2009 *** 24394; 
J3-240X150BC                 5,00 14/09/2009 *** 24394; 
J3-240X150NF                 2,00 14/09/2009 *** 24394; 
J3-240X200BC                 2,00 14/09/2009 *** 24394; 
J3-400X200PR                 4,00 14/09/2009 *** 24344; 24394; 
AL1033-RBC                   3,00 14/09/2009 *** 24349; 
C1-150BZ                     1,00 14/09/2009 *** 24323; 
J1-120X120BC                35,00 14/09/2009 *** 24394; 24636; 
J1-120X120NF                41,00 14/09/2009 *** 24394; 24636; 24649; 
J1-120X120PR                50,00 14/09/2009 *** 24344; 24394; 24636; 
J1-150X120BC                37,00 14/09/2009 *** 24394; 24636; 
J1-150X120NF                41,00 14/09/2009 *** 24394; 24636; 24649; 
J1-150X150BC                52,00 14/09/2009 *** 24394; 24636; 24647; 
2070BC                       2,00 14/09/2009 *** 24322; 
1629-ABC                    15,00 14/09/2009 *** 24320; 
AL1081-BBC                  16,00 14/09/2009 *** 24344; 24344; 
AL1081-BNF                  15,00 14/09/2009 *** 24345; 
F1-180BC                    10,00 14/09/2009 *** 24336; 
1209CR                      23,00 15/09/2009 *** 24299; 24481; 
1511-AMCR                   43,00 15/09/2009 *** 24423; 24740; 
1102-GBC                    16,00 15/09/2009 *** 24351; 24702; 
A1520TACR                  154,00 15/09/2009 *** 24299; 24740; 
1306CR                       4,00 15/09/2009 *** 24423; 
1521PR                   1.745,00 15/09/2009 *** 24299; 24423; 24367; 24594; 24768; 24077; 
1510-MPR                    31,00 15/09/2009 *** 24423; 
SP-01CR                      4,00 15/09/2009 *** 24434; 
1510-MVD                    93,00 15/09/2009 *** 24423; 24768; 24881; 
SP-03CR                      2,00 15/09/2009 *** 24434; 
1511-MPR                   113,00 15/09/2009 *** 24423; 24768; 
1504-ATACR                   4,00 15/09/2009 *** 24299; 24814; 
1400CR                     212,00 16/09/2009 *** 24481; 24593; 24745; 
C1-100PR                    15,00 16/09/2009 *** 24422; 24581; 
1315CR                       5,00 16/09/2009 *** 24481; 
F1-120BZ                     5,00 16/09/2009 *** 24422; 
1589VV35CR                   5,00 16/09/2009 *** 24470; 
1014CR                      50,00 16/09/2009 *** 24481; 
1587-30BC                   65,00 16/09/2009 *** 24465; 24493; 24957; 
F1-120PR                    23,00 16/09/2009 *** 24422; 24581; 24582; 
1523CR                     232,00 16/09/2009 *** 24481; 24593; 24745; 24881; 
1589VV30CR                  10,00 16/09/2009 *** 24470; 
1589VV25CR                   5,00 16/09/2009 *** 24470; 
AL1037-BPR                   0,50 17/09/2009 *** 24515; 
1125-A                   1.050,00 17/09/2009 *** 24493; 24625; 24957; 
1408-APR                   253,00 18/09/2009 *** 24594; 24077; 
1589VA50BZ                   7,00 18/09/2009 *** 24244; 
1520-XCR                   150,00 18/09/2009 *** 24593; 
1589VV50BC                   3,00 18/09/2009 *** 24244; 
1589VV50BZ                   3,00 18/09/2009 *** 24244; 
1520CR                     320,00 18/09/2009 *** 24593; 24556; 24742; 
F1-133PR                    18,00 18/09/2009 *** 24581; 24582; 
1510-XCR                    79,00 18/09/2009 *** 24593; 24742; 
1510PR                      40,00 18/09/2009 *** 24556; 24768; 
1126-MCR                    50,00 18/09/2009 *** 24530; 
1126-MPR                    30,00 18/09/2009 *** 24530; 
1511-APR                     2,00 18/09/2009 *** 24556; 
1510-XVD                    60,00 18/09/2009 *** 24593; 24648; 
1511CR                      45,00 18/09/2009 *** 24556; 24648; 24768; 
1531-XCR                    74,00 18/09/2009 *** 24593; 24770; 
F1-180PR                     5,00 18/09/2009 *** 24581; 
F1-200BC                     2,00 18/09/2009 *** 24582; 
1126-MNF                    13,00 18/09/2009 *** 24530; 
1408-ACR                    54,00 18/09/2009 *** 24593; 
2051BC                      10,00 18/09/2009 *** 24575; 
2051PR                      10,00 18/09/2009 *** 24575; 
2051VD                      16,00 18/09/2009 *** 24575; 
2051NF                      10,00 18/09/2009 *** 24575; 
C1-120PR                     5,00 18/09/2009 *** 24581; 
1126-MBZ                    76,00 18/09/2009 *** 24530; 24953; 
J1-120X150PR                20,00 21/09/2009 *** 24636; 24647; 
AL1029BC                     1,00 21/09/2009 *** 24540; 
